"ProbeName","GeneSymbol","logFC","AveExpr","t","adj.P.Val","category"
"A_23_P37910","MAPK3",-9.3847451715562,9.33062052944056,-178.306709889223,3.01132866955763e-05,"Downregulated"
"A_33_P3243812","WASF1",-6.79882518995889,5.83162862102331,-101.158288461188,0.00018452847978116,"Downregulated"
"A_33_P3367332","C1orf93",-5.20490750394463,5.57225352239381,-85.1825362565207,0.000221677090021616,"Downregulated"
"A_23_P120125","COLEC11",-4.91722112522686,6.31152413752586,-67.8513667403643,0.000221677090021616,"Downregulated"
"A_23_P18684","CLGN",-4.73275327519759,6.36674658284942,-54.8005780235823,0.000221677090021616,"Downregulated"
"A_23_P193","DEM1",-4.66325776710741,6.25001248342463,-57.9983442165569,0.000221677090021616,"Downregulated"
"A_23_P115215","VPS72",-4.58263722882858,5.95159948965743,-72.8087212632648,0.000221677090021616,"Downregulated"
"A_24_P590560","RRN3",-4.26785843429226,5.92915182823809,-59.8322161214958,0.000221677090021616,"Downregulated"
"A_23_P13382","LSP1",-3.46658770969755,11.64043768944,-70.3303460038016,0.000221677090021616,"Downregulated"
"A_24_P372625","RNF141",-3.30160470887133,7.9899411169718,-68.7282902323231,0.000221677090021616,"Downregulated"
