"Description","GeneRatio","BgRatio","p.adjust","geneID"
"positive regulation of leukocyte cell-cell adhesion","25/762","196/13022",0.0527641669877696,"HLA-DRB1/CCL2/PHF10/CD81/RAG1/ZBTB1/TGFB1/FBXO38/PTPN11/RASGRP1/AGER/CD24/FLOT2/SMARCC2/SIRPB1/HLA-DMA/ACTB/DNAJA3/RIPK2/CBFB/SPN/BRD4/HLA-G/TYK2/CD86"
"positive regulation of cell activation","31/762","270/13022",0.063600533462973,"HLA-DRB1/CCL2/PHF10/CD81/RAG1/APP/ZBTB1/BCL2/TGFB1/FBXO38/PTPN11/RASGRP1/AGER/CD24/FLOT2/MSH2/SMARCC2/SIRPB1/HLA-DMA/EXOSC3/ACTB/DNAJA3/RIPK2/CBFB/SPN/BRD4/GPR183/HLA-G/RPS6KA1/TYK2/CD86"
"positive regulation of cell adhesion","37/762","348/13022",0.0753374381507299,"HLA-DRB1/CCL2/PHF10/CD81/EMP2/RAG1/ZBTB1/TGFB1/FBXO38/PTPN11/ERBB2/RASGRP1/AGER/CD24/FLOT2/TFE3/PLAUR/BRAF/SMARCC2/SIRPB1/HLA-DMA/ACTB/DNAJA3/RIPK2/CBFB/SPN/SMAD3/BRD4/ROCK1/ARPC2/HLA-G/LAMB2/TYK2/ARHGEF7/PTK2B/VTN/CD86"
"endoderm development","12/762","66/13022",0.0898186447639171,"INHBA/MED12/DUSP5/BPTF/TGFB1/LEO1/MMP15/HDAC1/SMAD3/SMAD2/ZFP36L1/VTN"
"oocyte development","10/762","49/13022",0.0992169186687712,"LSM14B/BCL2/WDR77/TDRKH/H3-3B/EDN1/YTHDF2/EDNRA/TUT7/PTK2B"
"developmental maturation","30/762","269/13022",0.0992169186687712,"LSM14B/CABYR/APP/RAC2/NTN4/CNTN2/BCL2/TGFB1/WDR77/ATP6AP2/TDRKH/FZD5/FGF7/CDK5R1/H3-3B/EDN1/CBFB/ROCK1/FEV/YTHDF2/EDNRA/CDK5R2/SPTBN4/DCHS1/ANKRD17/TUT7/TMEM79/PTK2B/NRXN1/NF1"
"regulation of ERK1 and ERK2 cascade","24/762","197/13022",0.0992169186687712,"MAPK3/INHBA/EGFR/HLA-DRB1/APP/APIP/TGFB1/PTPN11/HRAS/ERBB2/RASGRP1/SEMA6A/AGER/BRAF/RIPK2/DUSP3/GPER1/GSTP1/GPR183/HTR2B/HMGCR/PTK2B/NRXN1/NF1"
"positive regulation of leukocyte activation","29/762","257/13022",0.0992169186687712,"HLA-DRB1/CCL2/PHF10/CD81/RAG1/ZBTB1/BCL2/TGFB1/FBXO38/PTPN11/RASGRP1/AGER/CD24/FLOT2/MSH2/SMARCC2/SIRPB1/HLA-DMA/EXOSC3/ACTB/DNAJA3/RIPK2/CBFB/SPN/BRD4/GPR183/HLA-G/TYK2/CD86"
"leukocyte differentiation","44/762","451/13022",0.0992169186687712,"INHBA/HLA-DRB1/KMT2A/PHF10/CD81/NFATC1/FANCA/RAG1/APP/KLRC1/ZBTB1/BCL2/TGFB1/PAFAH1B1/ERBB2/RASGRP1/FZD5/AGER/HDAC5/MSH2/TFE3/BRAF/SMARCC2/TMEM64/ACTB/DNAJA3/RIPK2/CBFB/SOCS3/SPN/BRD4/GPR183/HLA-G/ADGRG3/TRAF3IP2/ATG5/CAMK4/ERFE/ZFP36L1/FBXO7/MFNG/PTK2B/CD86/NF1"
"xenophagy","5/762","13/13022",0.0992169186687712,"MAPK3/ATG16L1/LGALS8/RNF213/RIPK2"
"mononuclear cell differentiation","38/762","373/13022",0.0992169186687712,"INHBA/HLA-DRB1/KMT2A/PHF10/NFATC1/FANCA/RAG1/APP/KLRC1/ZBTB1/BCL2/TGFB1/ERBB2/RASGRP1/FZD5/AGER/HDAC5/MSH2/BRAF/SMARCC2/ACTB/DNAJA3/RIPK2/CBFB/SOCS3/SPN/BRD4/GPR183/HLA-G/ADGRG3/TRAF3IP2/ATG5/CAMK4/ZFP36L1/FBXO7/MFNG/PTK2B/CD86"
"canonical NF-kappaB signal transduction","27/762","235/13022",0.0992169186687712,"STAT1/HLA-DRB1/HMOX1/CC2D1A/NFKBIB/PRDX4/NDFIP2/TGFB1/PRDX1/TAB2/ERC1/DDX1/FLOT2/DNAJA3/NFKBIL1/RIPK2/EDN1/HDAC1/BRD4/GSTP1/USP10/TRAF3IP2/EDNRA/CCDC22/NLRC3/ANKRD17/HTR2B"
